neighbourhood_group,latitude,longitude,room_type,availability_365,minimum_nights,number_of_reviews,price
1,40.66799,-73.97237,1,365,1,9,149
2,40.75362,-73.98377,0,355,1,45,225
2,40.80489,-73.9419,1,365,3,1,150
1,40.68514,-73.95976,0,194,1,70,89
2,40.79851,-73.94399,0,0,10,9,80
2,40.74767,-73.975,0,129,3,70,200
1,40.68688,-73.95596,1,0,28,49,60
2,40.76489,-73.98493,1,220,2,70,79
2,40.80178,-73.96723,1,0,2,70,79
2,40.71344,-73.99037,0,188,1,70,150
2,40.80316,-73.96545,0,6,5,53,135
2,40.76076,-73.98867,1,39,2,70,85
1,40.66829,-73.98779,1,314,4,70,89
2,40.79826,-73.96113,1,333,2,70,85
2,40.7353,-73.99669,0,0,28,27,120
1,40.70837,-73.95352,0,46,2,70,140
1,40.69169,-73.97185,0,321,2,70,215
2,40.74192,-73.99501,1,12,1,70,140
1,40.67592,-73.94694,0,21,3,53,99
2,40.79685,-73.94872,0,249,7,1,190
1,40.71842,-73.95718,0,0,3,9,269
1,40.68069,-73.97706,1,347,2,70,130
1,40.67989,-73.97798,1,364,1,39,80
1,40.68001,-73.97865,1,304,2,70,110
1,40.68371,-73.94028,0,233,2,70,120
1,40.66799,-73.97519,1,85,1,19,60
2,40.80489,-73.92639,1,0,4,1,80
2,40.76715,-73.98533,0,75,10,58,150
2,40.80489,-73.92106,1,311,3,70,49
2,40.7292,-73.98542,0,67,14,29,180
2,40.80489,-73.95104,1,355,3,70,50
2,40.80489,-73.95466,1,255,2,70,52
1,40.72219,-73.93762,1,284,4,70,55
2,40.80489,-73.95318,1,359,3,70,50
1,40.6831,-73.95473,1,269,1,70,70
1,40.66869,-73.9878,1,340,4,70,89
1,40.68876,-73.94312,1,365,28,1,49
1,40.70186,-73.92745,0,22,2,70,85
1,40.66799,-73.96327,1,365,1,1,150
2,40.71401,-73.98917,2,188,1,70,49
2,40.7229,-73.98199,1,96,2,70,68
1,40.66799,-73.97966,0,345,3,15,120
1,40.69673,-73.97584,1,311,7,25,120
2,40.79009,-73.97927,1,273,4,70,135
2,40.80489,-73.94478,0,309,7,70,150
1,40.66799,-73.96238,0,95,28,11,150
3,40.74771,-73.9474,1,215,3,70,130
1,40.68111,-73.95591,0,265,7,61,110
1,40.68554,-73.9409,0,0,3,11,115
1,40.69142,-73.97376,1,192,3,70,80
1,40.68043,-73.93934,1,251,1,70,80
2,40.78635,-73.97008,0,302,2,70,151
1,40.7042,-73.9356,0,140,3,70,228
1,40.73506,-73.95392,0,234,2,70,144
2,40.73961,-73.98074,0,257,7,19,200
1,40.70881,-73.9593,0,30,28,70,150
2,40.72004,-73.99104,1,301,5,19,110
2,40.75531,-73.99293,1,294,2,70,69
1,40.72401,-73.93788,1,320,4,70,49
2,40.7221,-73.99669,0,154,28,21,180
1,40.71185,-73.96204,1,263,2,42,80
2,40.74623,-73.9953,0,180,28,5,269
2,40.77065,-73.95269,0,231,2,66,250
1,40.67811,-73.96428,0,297,28,70,200
1,40.69,-73.96788,1,292,7,27,55
2,40.75979,-73.99119,1,191,28,70,52
1,40.67343,-73.98338,0,0,3,4,225
2,40.72649,-73.97904,1,72,1,70,80
1,40.70933,-73.96792,0,362,1,70,269
2,40.72298,-73.98474,1,336,1,70,99
2,40.80164,-73.93922,0,215,4,70,225
2,40.72162,-73.98008,0,116,9,49,230
2,40.76342,-73.98865,1,88,7,23,51
2,40.80489,-73.94095,1,336,2,49,65
1,40.68346,-73.96374,1,304,2,70,105
2,40.72828,-73.98801,0,224,5,21,190
2,40.76865,-73.95058,1,322,1,70,200
3,40.75038,-73.90781,1,324,28,25,70
1,40.6932,-73.97267,1,132,3,70,95
2,40.74138,-73.99669,1,295,3,70,150
1,40.71154,-73.96112,1,238,3,61,145
2,40.80489,-73.95136,0,209,28,54,110
2,40.71851,-73.98892,0,328,5,70,269
1,40.66799,-73.96323,0,38,6,16,130
2,40.7114,-73.98794,1,188,28,70,94
1,40.69723,-73.99268,0,7,1,25,269
1,40.71833,-73.95748,0,272,3,61,105
2,40.72334,-73.9844,1,26,3,70,60
2,40.72912,-73.98057,1,0,1,2,50
1,40.71156,-73.96218,1,288,3,70,85
1,40.70032,-73.9383,1,317,4,24,65
1,40.68233,-73.97261,0,207,4,70,131
1,40.68634,-73.966,1,185,7,16,98
1,40.68035,-73.97162,0,158,7,21,250
1,40.70984,-73.95775,0,0,5,70,100
1,40.70093,-73.92609,0,9,3,70,105
2,40.79764,-73.96177,0,198,3,70,140
2,40.80489,-73.94731,1,365,1,1,89
2,40.74008,-73.99669,1,364,28,30,98
1,40.68413,-73.92357,0,311,7,70,125
2,40.80489,-73.95139,1,219,3,11,60
1,40.67967,-73.99669,0,342,2,70,175
2,40.80489,-73.94281,1,312,2,68,65
2,40.73096,-73.99669,0,243,4,46,269
1,40.71332,-73.94177,1,152,3,70,101
1,40.66941,-73.98109,0,9,28,70,220
1,40.68373,-73.92377,0,137,28,70,125
1,40.71459,-73.94844,0,222,28,29,80
2,40.80489,-73.94421,1,346,2,70,100
1,40.68157,-73.98989,0,208,28,19,200
2,40.75527,-73.99291,1,279,2,70,59
1,40.68698,-73.96572,1,250,2,19,125
2,40.7288,-73.98192,0,164,7,12,140
1,40.66853,-73.98912,0,192,28,70,120
2,40.7254,-73.98157,0,298,2,7,269
2,40.74294,-73.98009,0,260,5,38,199
1,40.71942,-73.95748,0,107,3,70,269
2,40.77823,-73.97637,0,199,6,27,235
2,40.72555,-73.97965,0,299,1,70,225
1,40.66831,-73.98604,1,20,2,70,99
2,40.80489,-73.94919,0,318,2,70,170
1,40.66799,-73.97925,0,216,2,16,269
2,40.77842,-73.97556,0,224,7,13,170
2,40.72245,-73.98527,0,0,4,25,100
1,40.66799,-73.96053,1,324,2,9,75
1,40.71923,-73.96468,1,245,1,9,90
2,40.778,-73.94822,0,189,5,21,150
2,40.80489,-73.93128,1,307,15,36,85
1,40.68332,-73.9547,1,310,3,63,70
2,40.80489,-73.94894,0,213,3,70,120
1,40.68414,-73.96351,1,278,3,70,89
2,40.72392,-73.99143,0,209,5,70,185
1,40.73494,-73.9503,1,0,3,70,50
2,40.71341,-73.98856,0,16,3,32,105
2,40.76754,-73.98399,1,234,2,50,130
2,40.73442,-73.99669,0,12,28,26,115
1,40.66799,-73.93248,1,178,2,2,77
1,40.6873,-73.9634,1,275,2,70,76
1,40.68296,-73.93662,0,163,3,70,125
1,40.6863,-73.96765,1,365,4,70,135
1,40.73409,-73.95348,0,34,28,3,250
1,40.71561,-73.94835,0,280,3,10,199
1,40.6857,-73.99183,0,0,2,4,140
3,40.74028,-73.90781,1,1,2,1,140
1,40.68281,-73.93524,0,170,3,70,115
1,40.71596,-73.93938,0,188,3,11,160
1,40.71492,-73.95935,0,214,4,70,195
2,40.72354,-73.98295,0,248,3,30,195
1,40.71165,-73.96087,1,262,3,70,80
1,40.69101,-73.97312,1,280,8,27,49
2,40.73474,-73.99669,1,307,4,70,156
1,40.67386,-73.96641,1,339,15,9,85
1,40.71536,-73.96057,1,1,3,70,125
1,40.6741,-73.96595,0,269,15,4,115
2,40.79295,-73.93997,1,10,2,34,69
2,40.73226,-73.99669,0,312,28,70,225
1,40.71363,-73.96398,0,189,6,27,125
2,40.77711,-73.9527,0,290,4,70,219
1,40.68559,-73.98094,0,230,3,23,269
2,40.77456,-73.95323,0,164,1,70,99
1,40.71088,-73.95055,1,53,4,70,69
3,40.74559,-73.92313,1,126,28,28,79
1,40.68306,-73.94659,0,3,2,70,135
1,40.70207,-73.98571,1,189,3,14,250
2,40.76123,-73.9642,0,365,3,4,250
1,40.66858,-73.99083,0,0,2,70,250
2,40.80489,-73.94907,0,0,3,2,80
1,40.68843,-73.96408,1,336,2,70,70
1,40.6783,-73.99669,0,342,2,70,165
4,40.66799,-73.99669,1,312,2,70,70
1,40.70641,-73.91765,1,37,2,47,50
0,40.80489,-73.93184,1,353,1,70,49
1,40.71045,-73.9677,0,177,2,70,150
2,40.72518,-73.98034,1,310,1,70,125
2,40.70666,-73.99669,0,0,3,70,196
1,40.69098,-73.97113,1,321,2,70,110
2,40.73756,-73.99669,0,246,3,70,170
2,40.80489,-73.94791,0,231,3,70,165
2,40.73423,-73.99669,0,225,26,38,150
2,40.80489,-73.9373,0,0,2,18,100
1,40.68863,-73.97691,1,0,2,70,65
3,40.70382,-73.90781,0,365,8,10,269
2,40.80489,-73.95924,1,233,4,70,99
1,40.71627,-73.9587,0,1,4,33,200
1,40.67994,-73.97863,0,18,5,52,150
1,40.67992,-73.9475,1,343,3,70,90
1,40.67868,-73.97307,1,250,3,51,120
2,40.76834,-73.95334,1,326,3,70,75
1,40.68237,-73.9415,0,364,26,30,175
2,40.74031,-73.99669,0,0,3,3,125
2,40.76307,-73.99665,0,299,1,41,269
2,40.71882,-73.98852,0,207,2,70,269
1,40.6693,-73.98804,0,162,5,70,135
2,40.77333,-73.95199,1,0,14,1,130
2,40.72319,-73.99201,1,7,1,70,83
2,40.74859,-73.99669,1,328,1,70,123
3,40.67252,-73.90781,1,365,2,52,55
2,40.76244,-73.99271,0,0,5,10,195
1,40.69546,-73.93503,1,0,2,11,80
3,40.71722,-73.90781,0,240,28,33,98
3,40.70234,-73.90781,1,365,7,6,140
3,40.71546,-73.90781,0,365,7,38,265
1,40.7195,-73.95976,0,164,2,70,249
2,40.76548,-73.98474,2,363,6,10,105
2,40.80234,-73.95603,1,365,28,1,200
1,40.6787,-73.97262,1,250,2,70,100
2,40.80489,-73.94598,0,247,1,70,121
0,40.80489,-73.93058,1,323,1,70,49
2,40.79958,-73.94275,1,192,5,70,100
1,40.71625,-73.93845,0,125,2,70,140
1,40.6829,-73.93549,1,91,2,23,71
2,40.72773,-73.99134,1,75,2,70,130
2,40.72861,-73.99669,0,286,5,70,199
1,40.70979,-73.95162,1,60,4,70,69
1,40.68656,-73.97525,1,0,3,37,68
2,40.72752,-73.98432,0,192,1,70,130
1,40.729,-73.95829,0,58,2,69,195
2,40.80489,-73.94499,1,245,1,70,64
3,40.77185,-73.90781,0,292,2,17,140
1,40.68926,-73.99386,0,279,2,70,159
2,40.72821,-73.98701,0,0,3,70,189
2,40.7672,-73.98508,0,3,3,70,250
2,40.73012,-73.99053,0,351,3,7,239
